"ID_SENSOR","DIRECTION","DATETIME","NUM_VEHICLES","SPEED_MEAN","SPEED_SD","EVENT","LON","LAT"
1,"A","2018-09-03T22:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T22:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T23:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T23:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T23:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T23:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T00:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T00:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T00:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T00:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T01:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T01:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T01:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T01:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T02:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T02:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T02:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T02:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T03:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T03:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T03:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T03:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T04:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T04:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T04:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T04:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T05:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T05:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T05:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T05:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T06:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T06:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T06:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T06:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T07:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T07:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T07:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T07:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T08:00",761,97.3,16.09,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T08:15",657,100.1,16.52,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T08:30",733,100.1,16.46,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T08:45",722,100.5,17.06,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T09:00",716,98.3,15.84,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T09:15",534,99.7,17.93,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T09:30",683,98.5,17.89,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T09:45",623,100.8,19.49,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T10:00",612,99.6,18.94,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T10:15",509,97.7,18.66,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T10:30",625,97.2,17.43,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T10:45",545,100.4,18.33,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T11:00",544,100.9,18.08,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-04T11:15",445,101.4,19.17,"NO_EVENT",12.291754,41.800588
